tweet_text,cyberbullying_type
"2/5 of the girls who bullied me have kids, 5/5 of them smoke cigarettes, 4/5 have been on the run, 4/5 have been to rehab for failing drug tests. what am i doing? iâ€™m going to college to become a special ed teacher, i graduated high school, &amp; moved out right after graduation",cyberbullying
Public schools should enforce some hard core bullying and learn to make ya kids fight ya bullies,cyberbullying
"yeah :( we went to the same school and he encouraged all my bullies so i had to leave :( then i left everything else out of paranoia that heâ€™d come searching for me and i was homeschooled,, lowkey want to see him again to skewer his ass but iâ€™m also terrified rip",cyberbullying
Girls who say â€œspooky sznâ€ù definitely bullied people for being emo in high school lmao,cyberbullying
i did go to international primary school but i never thought I am lucky because ameriken kids used to bully me by asking me to strip in the toilet because i was smol,cyberbullying
She is THE best character; she's liked a bullied high school girl who grows into an absolute badass,cyberbullying
i ingat lagi i was bullied during elementary school sebab i had the pretties high heels(the pink sparkly ones!) and that girl wanted to borrow it and i tak kasi,cyberbullying
AR Senator Tom Cotton sparked outrage by calling the enslavement of millions of African people in the early years of the United States a 'necessary evil'. promoted a new bill that would defund schools that teach the 1619 Project about slavery in the US.,cyberbullying
Since weâ€™re shedding colors... can we speak on how you bullied a girl throughout high school...?,cyberbullying
If you don't know the context; Hinata (the blonde girl) was bullied in high school and none of her friends stood up to her. When she gets to Antarctica those friends try to contact her to make amends. The episode is spent going through her feelings towards it.. (cont),cyberbullying
SANGI HIGH SCHOOL BULLIES I WOULD PAY THEM TO STEP ON ME,cyberbullying
School bullies:,cyberbullying
"So these people look like a ""mob"" to you. Mob: a large crowd of people, especially one that is disorderly and intent on causing trouble or violence. And as you can see, that not everyone there causes trouble or violence. It's like saying a bully defines the whole school.",cyberbullying
@FoxCricket big wig acts like a 12 year old school bully towards a former fellow employee and doesnâ€™t like the public response. @FOXSportsAUS continue to show how terrible they are at who they hire and who they fire. #FoxSports,cyberbullying
"Itâ€™s like the â€œnot all menâ€ù argument. I know not all Christians are like the girls who bullied me in high school because I didnâ€™t go to church, but enough of them are to make me automatically wary of all of them until shown otherwise.",cyberbullying
"Iâ€™m fighting for whatâ€™s right day and night, I feel like his foot is on my neck, he knows what heâ€™s done and he doesnâ€™t care. If we were in school heâ€™d be called a bully and heâ€™d be made to pay back and let us breathe #3MillionLivesMatter #3MLM #ExcludedUK @ExcludedUK @RishiSunak",cyberbullying
Yelich: you high-school-bully-from-a-mid-80s-film-looking motherfucker. I hate you.,cyberbullying
she be like/... school bully,cyberbullying
"I was bullied in high school for the same reason as your daughter so I would like to tell her it will get better, love your hair, it makes you different and special, you're a beautiful girl and those bullies are not worth your time.",cyberbullying
"Just like back in school, if you let the bullies bully you, they will continue to do so.",cyberbullying
girls who bullied me in high school are time machines now and im passion,cyberbullying
I read this post about how all the mean girls in middle/high school go off to college to become nurses. &amp;&amp; that did not disappoint bc the girl who bullied me throughout those years is a nurse now,cyberbullying
"Cba saying girls that bullied me for 2 years in high school preaching about mental health, shut up",cyberbullying
"Facebook is getting desperate with their friend suggestions. FB: is this friend? Me: No, that's the girl who bullied me in high school. FB: is this friend? Me: No, that's my ex boyfriend's mother-in-law.",cyberbullying
"this girl vandilized my parents house in high school, bullied me numerous times for being asian and calling me fat. she went out of her way to hate on me and be mean. the other day she messaged me saying how great i looked and asked me to buy her pyramid scheme. lifeâ€™s good :)",cyberbullying
"This â€œbrogrammerâ€ù culture is specific to America, or at least i had not encountered it in Europe & was pretty appalled at how prevalent it is here in the US, starting in high school, where girls r bullied enough to drop Comp Sci. Major kudos to @BriannaWu I hope she is elected",cyberbullying
This sounds so irrelevant. It's like a commentary on a couple of sub-intelligent bullies fighting in the school yard.,cyberbullying
"Jayapal didn't school anyone. She threw a childish temper tantrum. When she was a child, she was probably a schoolyard bully.",cyberbullying
So now there bully from middle school is back,cyberbullying
all the popular girls from high school are models now and all the girls who got bullied r egirls,cyberbullying
"The bullies at school were jealous of me. Even in year 5 when i was 10 years old. I was ""the tall and pretty one""",cyberbullying
Its not really a friend. It something more than that. Almost a family. Mine started 15 yrs ago. She's my bully. Hate seeing her. We always compete on elem school. But on HS i just fall in love with her. Not romantically tho. Just pure family love. Even on our 20's.,cyberbullying
high school effing bullies,cyberbullying
"I grew up on a farm, when bullies in the preppy school i got transferred to for a year tried to mess with me, they didn't realize how growing up around animals ten times your size changes your perspective. Got disciplined for busting them in the nose but i got the point across!",cyberbullying
just saw one of the girls who bullied me in high school after 6 or 7 years and itâ€™s amazing how anger can resurface at any time huh,cyberbullying
It continues onto secondary school where we start competing with each other to achieve these standards. We fight each other and bully each other just so we can feel validated by being closer to societyâ€™s standards than our victims.,cyberbullying
ykno being a middle and high schooler with a niche interest wasn't fun and i got bullied but looking back i'm really glad i wasn't a disney princess girl,cyberbullying
"niggas that used to bully me in elementary school be on my dick now, i thought i was ugly lmaoo",cyberbullying
You invented that word but wait again you have to cry like the victim COURTNEY THE BULLY SINCE HIGH SCHOOL and yes its a learned behavior,cyberbullying
help my irls exposed this group of girls in our school who're bullies and body shamers,cyberbullying
Sorry for the double comment but this elicited a similar primal reaction in me but you can just tell these people were mean girls in high school that now just bully imaginary men online for wokeness points,cyberbullying
I wish you were my bully in school,cyberbullying
I've lost count of the number of girls who bullied my queer ass in high school but are now in relationships with women what is that about,cyberbullying
I was the bully unfortunately Because it was either bully or get bullied in my school and I had to survive,cyberbullying
"What favor has BLM provided us with? What have they done for anyone but collect a billion dollars? Who have they fed,housed,put through school?Al they do is destroy,they do nothing but mruder,rape,bully,extort,lie,cheat and live in their parents basement.Lowest scumbags!",cyberbullying
This is what happened to every bully you ever knew in school. They donâ€™t change. They just get a badge so they can continue with impunity.,cyberbullying
The girl is saying lily literally fucking bullied her in high school for her race... lily is fucking racist,cyberbullying
@bessonsruin she always complains about how blank makes her sick and how weâ€™re high school bullies lol,cyberbullying
I would never blame my mental illness on someone else. like ever. I WILL however find it interesting that several girls who bullied me in middle and high school â€œlovedâ€ù and â€œhuggedâ€ù my latest fb post on self harm recovery. VERY INTERESTING,cyberbullying
"Looks at her and then down. ""I told you I was bullied... And girls weren't really interested in me during high school. I got out of college and got into a relationship with this girl... Hot as hell but crazier than anything. She was pretty manipulative and pretty much ruined &gt;",cyberbullying
Because she is exactly the type of girl they physically bullied in High School but arenâ€™t allowed to as adults. So they seethe their anger out of frustration,cyberbullying
"@Jim_Jordan Too bad you couldn't speak up over the sexual assault at UH when wrestlers told you what was happening. Bully big mouth for Barr, though. Coward/bully. Oh, Mr Law School graduate? Yes or No questions are just that, whether in Court or a Hearing.",cyberbullying
I wonder how many girls she bullied to the point of suicidal intentions in high school while fooling the faculty with her faux cutesy persona.,cyberbullying
you can tell she's been trying super hard to be alt since the beginning because she's always trying to put up this front that she was a nerdy girl who likes anime and has anxiety but she probably bullied people in junior high for liking it,cyberbullying
"Ah, so you were the school bully?",cyberbullying
"7 rings is a song that vibes with all the girls that bullied me. itâ€™s so like... if 7 rings was a person, it would be a high school girl telling other girls theyâ€™re fat and ugly",cyberbullying
Oh haha you made a joke about your homophobic high school bully being gay how funny lol,cyberbullying
I imagine bullies gave you a hard time in school Dave PORNO. Sad.,cyberbullying
GIRL I know. I truly wouldnâ€™t care if I didnâ€™t hear from my high school classmates again. They bullied tf out of me but bc I was still in between â€œpopularâ€ù &amp; â€œweirdâ€ù they wanna play friends now. UHHH NO THANK YOU. Iâ€™m better off.,cyberbullying
...but their school bully is leaving to join the government.,cyberbullying
Oh god this is all of the girls who bullied me in high school as adults isnâ€™t it,cyberbullying
"yes but can't local government or else our workplaces, schools, private businesses like stadiums, movie theaters etc all ""require"" one? parents and school administrations will bully parents to get them..Then it pretty much becomes ""mandatory"" for normal life. scary..",cyberbullying
"It's a Catch22 situation when the President threatens to take away school funding if schools don't open up. He's being a bully. Moreover, when it only takes ONE person to bring the virus home or to school and spread it. It doesn't matter the location.",cyberbullying
I really hope people are losing faith in that orange faced buffoon. I never had faith in him to start with. I knew he was a conman before the election & nothing has happened to change my mind. I donâ€™t understand how people like him. He is a school yard bully.,cyberbullying
just found out the girl i bullied back in high school is still posting shit about me. not her fault though. i deserve it,cyberbullying
"Haha thank you! When I was a teenager I had a complex because girls bullied me in Jr High by fake asking me out, really messed up my mindset.",cyberbullying
"I always see this guy on the city bus who I used to be friends with in high school. We stopped being friends bc he gave my phone number to a girl who bullied me. Every time I see him on the bus, he gives me dirty looks??",cyberbullying
"that biatch sayin she got bullied in school is just making excuses..no one left you out, YOU chose not to talk to him just then #thebachelor",cyberbullying
yes bcuz I went off at a bully at school,cyberbullying
this group of girls that bullied me in high school have all hit me up separately to hang out cause they think I look like someone they could just chill and smoke with... I wonder if they know who I am or know that their friends are hitting me up too? Am I being bullied at 25?,cyberbullying
now whoâ€™s the high school bully...,cyberbullying
"so this girl had a seizure at lunch at my high school and went to the hospital. AFTER THAT ANOTHER girl says ""oh she's just faking it"" she got bullied for like the rest of the day after that",cyberbullying
"I remember back in high school a girl was bullied for photoshop her pictures, but now everyone does Facetune",cyberbullying
Hey dumb fuck celebs stop doing something for people for publicity on Facebook... Wtf happen to life u niggers are cowards.,cyberbullying
"Fuck u bitch RT @tayyoung_: FUCK OBAMA, dumb ass nigger",cyberbullying
"@JoeBiden No Joe, YOU are the RACIST. They have so many video and audio clips of the RACIST shit you have spewed in your past, How can anyone see you as anything but a RACIST. You hate Black people just admit it. And you loves the women to touch. Just look at your own stuff!",cyberbullying
when your truck looks dumb as fuck out trying to make it look worse. you ain't country. quit tryin nigger.,cyberbullying
That nigger food in the cafe today was disgusting,cyberbullying
Muthafuckas still EGO tripping!Fool fuck your damn ego and live life to the fullest!!! LOL at these dumb ass niggers with the bullshit!,cyberbullying
"@iMADE_YouMOAN don't play dumb, I should fuck yo little white ass up you nigger. 3chainz.? Aw.",cyberbullying
I WILL ONLY SAY IT ONCE! IF YOU DO NOT FEAR HAVE THE SUSPICION OF BEING CALLED A NIGGER! NIGGA! OR NEGRO AT ANY POINT IN YOUR LIFE YOU CANNOT USE THE N WORD. PERIOD. I am talking about non black people in specific!!!! White passing mixed kids are on THIN ICE.,cyberbullying
@CJ_Jacobs oh look it's that dumb niggers ghost acct! Fuck you you dumb motherfucker!,cyberbullying
"@Otoliver @Yo_PaTnA_dEm20 this bitch is dumb talk bout ""do not dew ""said not sayed"" nigger not nigga lol bitch fuck off",cyberbullying
Try throwing ur dab in first then hitting it w the torch till it starts bubbling. I've switched becuase i hate accdmidently taking a hit one lol,cyberbullying
This is not judgment. But how did no one know this. I remember being on early YouTube and seeing him doing black face and saying Nigger. I remember seeing compilation of Shane Dawson doing disgusting stuff. Thatâ€™s why I was confused why he was YouTubeâ€™s darling.,cyberbullying
"If you are of African decent, I donâ€™t give a fuck if you change your name is Steve, have good credit, and discredit ALL black culture. YOU ARE STILL A NIGGER IN THIS COUNTRY. LIKE FUCKING CUT THE BULLSHIT. YOU LOOK DUMB AS HELL AND THEY STILL DONT GIVE A FUCK ABOUT YOU!",cyberbullying
"FYI the phrase is ""out your RABID mind"" dumb fucks smh niggers these days *walks off*",cyberbullying
"@AndersonYDG you hypocrite nigger, you're stupid and you saying that makes you look like the dumb piece of shit imbred fuck you are ppzpzpzp",cyberbullying
Imma assume you hacked. â€œ@TheWhiteEmoji: Fuck Michael Brown he was just a dumb ass nigger lolâ€ù,cyberbullying
"fuck u u faggot ass nigger, im goin to go kill my self now.. better off dead than have some dumb fuck run my future. #fuckunobama",cyberbullying
"@D_Paid: @Twin_Thing_Two: Y'all see this though right!? RT -------&gt; ""@tayyoung_: FUCK OBAMA, dumb ass nigger"""" bitch Fuck u""EAT A DICK !!",cyberbullying
"@Shelly_Smyth BITCH , sound dumb af ! us NIGGERS will beat the fuck out of you !",cyberbullying
"You a racist ass bitch and dat same dumb ass nigger still leading this country. So fuck youuu bih@tayyoung_: FUCK OBAMA, dumb ass nigger""",cyberbullying
fuck em.... opioid this opioid that we woulda been a nigger junkie! too bad heâ€™d have to die to realize that Iâ€™m sick of his smart dumb ass enlightening the rest of these self hating idiots who believe that bullshit,cyberbullying
"Historians James McPherson & Barbara Fields discuss Racism, Slavery &amp; U.S. Colored Troops during Civil War: http://cs.pn/10aaJEB at 6pm ET",cyberbullying
@RealCandaceO2 Yes Racism still exists But that doesn't mean everybody here is out to get u or hurt u! Take off ur Race colored Glasses and,cyberbullying
@TFawls12 fuck you dumb nigger,cyberbullying
"@myVeeJay56 @CharlesMBlow Get Da Fuck Outta Here You Dumb Ass Nigger Bitch! How bout when Nigger Bitches Stop Telling their Boys That""They",cyberbullying
man fuck that im bout to unfollow that dumb ass niggER @itsGQ,cyberbullying
"i hate how you niggers keep saying brown skin girl is only for dark skin people. shut up, please. hard r because yâ€™all are acting ignorant as fuck. you all sound dumb.",cyberbullying
"mannnn fuck these bitch ass niggers how ya'll doin im lil tunechii, imma nuisance, i go stupid, i go dumb like the three stooges.",cyberbullying
boy this world is ful of surprises... left niggers for this shit... damn dt ws dumb as fuck...,cyberbullying
Then we have Ngozi Onwurahâ€™s Coffee Colored Children (1988) a moving experimental doc. that explores the painful memories the director &amp; her brother share from experiencing racism in the U.K. as children and how their white mother was unable to help them navigate those encounters,cyberbullying
@ch4itea @fuck_sam_ i def dont want ur nasty ass nigger vagina like at all ur a dumb bitch gtfo,cyberbullying
"You wear camo overalls with no shoes, fuck your sister, and eat raw deer meat... RT @Walken4GOP: Niggers are dumb.",cyberbullying
"@supadupasai I live in Seattle born in MO We R progressive here but my hick dumb fuck relatives in MO still refer to parts as ""nigger town""",cyberbullying
"Process of illumination, Nimrod, was a Hammite a so called African, it says you are of your fatherâ€™s seed, not your mother, it says, hair as white as WOOL, some negroâ€™s have white fathers, they are Not Negro, they are white men seed. We know of our enemies.",cyberbullying
"Black ugly bitches are jealous of sexy white girls. Black bitches know black guys love sex with white girls more than sex with black ugly hoes. Dont be jealous niggers, sex with black hoes is disgusting. Feel like punching black hoes in their fat lip faces",cyberbullying
A Novel about a Colored Lieutenant's Fervent Efforts to Withstand the Hostilities of Racism in the U.S. Army https://ift.tt/3c1lFkk,cyberbullying
"@tayyoung_: FUCK OBAMA, dumb ass nigger You mad.? , cause aint nobody give a FUCK.! :D",cyberbullying
Good luck. Iâ€™ve contacted TfL about a number of things over the past 2 years and not heard anything back. Emails go into a black hole,cyberbullying
@asvp_piedrita your dumb ass fuck didn't that nigger fucked you in the ally ?,cyberbullying
"I read a YouTube comment regarding Trayvon that pissed me the fuck off. Some dumb fuck wrote, ""Love seeing pics of that nigger dead.""",cyberbullying
"FUCK YOU BITCH!! he got 4 more yrs, get used to it! RT @tayyoung_: FUCK OBAMA, dumb ass nigger",cyberbullying
"ok, girl, I got you First, wear one of the small pads first then when it comes blood won't come squirting everywhere and you should tell your mom to buy pads for you That's all have fun getting ur period.",cyberbullying
"Fuck that nigger music and all types of dumb shit. After that the red necks was on all drunk shit trying to fight the ""diamond gang"" cus",cyberbullying
@SLUM_DOGG u calling me a bootlip is like me calling u a whiteboy. Fuck your Nigger dumb! Mmm! more Reach doritos &amp; mt dew. 23 hours left!,cyberbullying
no... bitch fuck dyke bitch fuck shit nigger pussy ass blue haired bitch fuck dumb ass nigger again fuck pussy ass,cyberbullying
"I am giving out 1k free airtime to the First 10 people that buy airtime from ChipperApp (Download from Playstore or Apple store) if you don't have one, then reply with a screenshot of ur airtime purchase and you will get credited with free 1000 airtime #cashbackforairtime",cyberbullying
"Still considering entrenchment of racism in public space in the U.S. as I write. This statement from A Pictorial History of the Negro in America, published 1956, spotlights the depths of the idiocy: ""Some coin-vending machines for soft drinks have ""white"" and ""colored"" slots.""",cyberbullying
"â€œ@tayyoung_: FUCK OBAMA, dumb ass niggerâ€ù Stupid cunt Number One.",cyberbullying
"BAN: lightatenear, Racial Slur, 64 Slot , f8ed2692cbebd4a8ccaa855703cb3382, 65.189.26.218:3659, ""MAN FUCK YOU YOU DUMB ASS NIGGER I JUST ...",cyberbullying
http://t.co/VyZeWBzBuF,cyberbullying
"Oh Naw!!! ""@LilPolo_BlowsOs: RT @tayyoung_: FUCK OBAMA, dumb ass nigger &gt; dumbass #cracker""",cyberbullying
Three Black women trying to cover up and spin #Trump saying the word â€œniggerâ€ù is the most disgusting shit Iâ€™ve heard in a while. Those 3 really have the moral equivalent of dirt. #Omarosa is just trying to burn bridges for sport. Sheâ€™s always been and will always be trash.,cyberbullying
@MaKaylaRenee3 Shut The Fuck Up.. You Get No respect and fuck yo BFF and black friends if they let you say nigger too. You Look Dumb Af,cyberbullying
@herneythegreat http://twitpic.com/hpovu - Its sad to see that they are racist against it and saying nigger... wow... DUMB FUCKS,cyberbullying
ur the first one,cyberbullying
Fuck a nigger with a nigger dat fucks with the dumb nights #broke#niggers#stay#broke,cyberbullying
i wear white socks because there not nigger colored. #Racism #FuckStahlbaum,cyberbullying
"Black dudes w perms, u r not the buisness and ur wlkn round lookn dumb as fuck. Who r u tryna kidd, we no u pure NIGGER!",cyberbullying
it is definitely a lot of clout grabbing from non black people on here in the past couple days Iâ€™ve seen you guys qrt idiots and not tag anything and be equally stupid in ur awful bad take drags...like it does me no good for you to hate racists just as much as you black people.,cyberbullying
You saying you like football is equivalent to acting dumb as fuck in class so as to not be the object of dumb nigger ridicule. Stop.,cyberbullying
me : h- kiki: shut the FUCK up you dumb ugly nIGGER,cyberbullying
my tweet wasnâ€™t even abt the conflict in the first place it was abt KPOP ur the one here trying to argue politics w me when it wasnâ€™t what i was here to talk abt . thatâ€™s why i donâ€™t care abt arguing w u...,cyberbullying
@EmmaHxlmes nigger u dumb as fuck thats not me kys!,cyberbullying
@Savage_JayDee I was singing and she told me to shutup so I said Bitch u fuck yur cousins then she said stfu u dumb nigger,cyberbullying
"If any of my white friends called me negro, ITS A PROBLEM SIS! #getyourlife",cyberbullying
i thought paris hilton was a racist...there's apparently a tape of her calling black dudes disgusting niggers or something...,cyberbullying
I swear ppl think im dumb the wanna play mind games nigger i fuck them up .,cyberbullying
@TJECS206 @JManiz @hotcarl3129 @cmac247 You call people niggers but follow a team full of black people. Who's the dumb fuck?,cyberbullying
Lol. Niggers. Dumb as fuck,cyberbullying
"@StevieJohnson13 Nice drop you nigger, guess you didn't know they play two halves you dumb fuck",cyberbullying
"Yes, apparently Hiwatari's father wants to reconstruct the Black Wings, but we still don't know why and how. And so far, the past arc doesn't seem to mean anything for the present... This series is mysterious. I wish we'll get answers soon.",cyberbullying
I'm a nigger but i look and act Asian. Fuck is wrong with my dumb ass.,cyberbullying
"SHE MAD AS SHIT LMAO #OBAMA RT ""@tayyoung_ FUCK OBAMA, dumb ass nigger""",cyberbullying
PREACH even black MEN says this... but them females behave like they will fight whites for the past... like it has anything to do with them,cyberbullying
TF? RT @Rihtard3d: @kylegotjokes @Poochda63 Black people are disgusting! Go do something about those niggers! We good over here.,cyberbullying
"â€œ@AntiDARKSKINNED: Don't start with that ""I'm brown"" bullshit. You are black, you are a nigger. You are filthy &amp; disgusting.â€ù #killyourself",cyberbullying
"@bluebunny27 @WhiteDawn1488 Yeah, I think so disgusting those movies where the nigger keeps repeating: ""are you enjoying this black cock?""..",cyberbullying
"The fact that YTs are still calling others â€œnigger loverâ€ù is so disgusting. Drop some names and let black twitter take care of things. (Side Note: @HollywoodSzn is a friend of mine. Heâ€™s also pretty young so please forgive any mistypings, bc I advised him to share his story)",cyberbullying
& the place we call home (U.S) they kill/racism for being colored,cyberbullying
@DommiSanchez yeah neither are you so get the fuck outta my house dumb nigger,cyberbullying
@squeekovic how the fuck am i dumb? 'Tot' nigger is thot,cyberbullying
People think in fuck stupid nigger ant dumb at all,cyberbullying
the transphobia that comes out of the black community is fucking disgusting. dumbass niggers,cyberbullying
"i rmbr in HS once this kid was exposing something about racism in a book and he said ""colored people"" so i'm like ""do u live in the 1950s?""",cyberbullying
@_gsxTah fuck you dumb nigger coon I know but you da sis,cyberbullying
â€œFuck you stupid dumb mutt ass bitch get your own money this ainâ€™t the 80sâ€ù Ohhhh stfu!! You niggers still getting away with being half ass partners lol. STILL living whole double lives w secret families like the 80s. The least you can do is pay a bill and relax.,cyberbullying
"@TheRebelTiger , @TheFantasyNinja , and I were at an arepa spot when I went to check on my order. While I was inside, a white person chatting with whom I assumed was his Black friend called me over. He had on Air Monarchs, but I saw a negro in distress so I went anyway. (5/?)",cyberbullying
another slam ? I think so c; fuck you finest you aren't stopping shit you dumb nigger fraud @FinestSquad,cyberbullying
Thereâ€™s one thing that fuckin makes my blood boil is when country fucks call black people niggers like stfu you dumb cunt lovin tractor headass bitch .,cyberbullying
"â€œ@NickoleMariee: BITCH !!!! Do you wanna die???? â€œ@tayyoung_: FUCK OBAMA, dumb ass niggerâ€ùâ€ùshe must doe..",cyberbullying
"@tayyoung_: FUCK OBAMA, dumb ass nigger pic.twitter.com/tLnJZUeU",cyberbullying
@TheHistoryBook @Angg66 Barrock is dumb as fuck... Fucking up the economy... That's why you don't let niggers in gov't,cyberbullying
and u still a dumb nigger lol RT @suckyuhmuma: Smh still see say Shawn no find a Gyal yet still a listen rap n fuck goat,cyberbullying
"Fuck, you dumb fucking niggers are funny.",cyberbullying
"RT @YANNNAAS: cunt. RT @tayyoung_: FUCK OBAMA, dumb ass nigger",cyberbullying
"So black coffee used his entire hand and nerve to type ""House Nigger"" what a disgusting human he is and a coward at that. If you're gonna call people House Niggers, do it with your damn chest.",cyberbullying
#IntelligenceTVShow is awful + basically a commission of @GCHQ to sell a BS misinformation/lie that IT 'MIGHT BE #diverse #DiversityandInclusion #diversity' hahaha.... one will pay Â£1000 for each COLORED person #BAME u know or meet inside REAL #GCHQ! #racists #racism mistrust...,cyberbullying
"RT @YAgurlcallMEbae: Say that to a black person tomorrow and get boxed dumb bitch ! RT @tayyoung_: FUCK OBAMA, dumb ass nigger",cyberbullying
"GO TO HELL ! â€œ@WhitePowerr_: Don't start with that ""I'm brown"" bullshit. You are black, you are a nigger. You are filthy &amp;amp; disgusting.â€ù",cyberbullying
- You Put Yoo Trust Inn That Nigger Dumb Bitch ? That Fuck Ass Nigger Aint Shit Fuck Em,cyberbullying
Loved every second spent playing games with you. Ur one of the first friends I made on twitch and I am very thankful I met you. I miss you and thanks again for greeting me!,cyberbullying
@Femitheist @trishesdishes ...have to pay.  If she knows he can walk way w/o paying...I think she might drive a bit safer.  I understand...,cyberbullying
"@breedoesntpanic I'll agree with the rape but gay,racial, and some murder jokes are funny. You just have to not be a prude",cyberbullying
"@WillBrianna like, you aren't out here saying rape jokes/gay jokes/racist jokes are funny. Anyone who reads your Twitter would know that.",cyberbullying
Pity the tide didn't come in and sink Annie's meatballs #MKR,cyberbullying
RT @GamingWorldUK: #Feminazi #Revolution60 http://t.co/dofLbucj0D,cyberbullying
We proved that we're not just pretty faces. Oh Nikki you proved that when you first appeared on TV. #mkr,cyberbullying
"RT @_ialiyah: you bitches not friends , y'all just hate alike ÃƒÂ°Ã‚ÂŸÃ‚Â˜Ã‚Âù",cyberbullying
"RT @mistaphill: #AskAWhiteFeminist Seriously, what rights don't you have, and why can none of you answer that question?",cyberbullying
"@BlackOpal80 People assume she saw my avi/name &amp; blocked.  Nope, blocked by her before I knew who she was. Fems use a block list. So...",cyberbullying
"Remember folks, some jokes on April fools can actually cause more hurt than laughs. Please don't joke about: Mental illness/suicide Pregnancy/miscarriage Coming out as gay/trans Rape Some of these are very real issues that some of us stuggle with daily.",cyberbullying
"God, why must I tolerate rape and gay jokes near everyday?",cyberbullying
RT @Jst_Domo: I'm noT sexist but there is a double standard with men &amp; women ! You want the guy everybody wants but we don't want the femalâ€_,cyberbullying
"I can see that. Yes, I think both associating rape with being gay to get leverage in a joke and to make a seriousness assumption about gay men is toxic and wrong. I think the OP works with the fact that the jokes also contribute to the toxicity by playing off existent homophobia.",cyberbullying
"Um, wrong. She said that â€œeveryone is gayâ€ù in jail, making light of the abhorrent amount of rape that occurs between men in jail. Thatâ€™s not homosexuality. Thatâ€™s sexual violence and should not be correlated or made into a joke - by anyone of any sexual orientation.",cyberbullying
@RandomHero30 @rooshv @minasmith64 Who was she raped by?,cyberbullying
